Estimator,parameters,best_params,Scaler,Sampler,Clusterer,Feature Selector,Interaction feature,0_precision,0_recall,0_f1-score,1_precision,1_recall,1_f1-score,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,accuracy
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},StandardScaler,passtrough,KMeans,passthrough,PolynomialFeatures,0.9270833333333334,0.994413407821229,0.9595687331536388,0.875,0.3333333333333333,0.48275862068965514,0.9010416666666667,0.6638733705772811,0.721163676921647,0.9216145833333335,0.925,0.9095036713449205,0.925
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,passtrough,KMeans,SelectKBest,passthrough,0.9365079365079365,0.9888268156424581,0.9619565217391304,0.8181818181818182,0.42857142857142855,0.5625,0.8773448773448773,0.7086991221069433,0.7622282608695652,0.9240836940836941,0.93,0.9200135869565217,0.93
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,KMeans,SelectKBest,PolynomialFeatures,0.9468085106382979,0.994413407821229,0.9700272479564034,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.9317375886524822,0.7591114658153764,0.8183469573115351,0.9436436170212765,0.945,0.9381743869209811,0.945
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},StandardScaler,passtrough,KMeans,SelectFpr,passthrough,0.9459459459459459,0.9776536312849162,0.9615384615384616,0.7333333333333333,0.5238095238095238,0.611111111111111,0.8396396396396396,0.7507315775472201,0.7863247863247863,0.9236216216216216,0.93,0.9247435897435898,0.93
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,KMeans,SelectFpr,PolynomialFeatures,0.9358288770053476,0.9776536312849162,0.9562841530054644,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.8140682846565199,0.7031125299281724,0.7428479588556733,0.9102591526120938,0.92,0.9114625522340083,0.92
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,passthrough,passthrough,0.9301075268817204,0.9664804469273743,0.947945205479452,0.5714285714285714,0.38095238095238093,0.4571428571428571,0.7507680491551458,0.6737164139398777,0.7025440313111546,0.8924462365591397,0.905,0.8964109589041095,0.905
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,passthrough,PolynomialFeatures,0.9263157894736842,0.9832402234636871,0.9539295392953928,0.7,0.3333333333333333,0.45161290322580644,0.8131578947368421,0.6582867783985102,0.7027712212605997,0.9025526315789473,0.915,0.9011862925080862,0.915
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,SelectKBest,passthrough,0.9354838709677419,0.9720670391061452,0.9534246575342465,0.6428571428571429,0.42857142857142855,0.5142857142857143,0.7891705069124424,0.7003192338387869,0.7338551859099804,0.904758064516129,0.915,0.9073150684931507,0.915
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,SelectKBest,PolynomialFeatures,0.946524064171123,0.9888268156424581,0.9672131147540983,0.8461538461538461,0.5238095238095238,0.6470588235294118,0.8963389551624845,0.756318169725991,0.807135969141755,0.935985191279309,0.94,0.9335969141755062,0.94
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,SelectFpr,passthrough,0.9459459459459459,0.9776536312849162,0.9615384615384616,0.7333333333333333,0.5238095238095238,0.611111111111111,0.8396396396396396,0.7507315775472201,0.7863247863247863,0.9236216216216216,0.93,0.9247435897435898,0.93
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},StandardScaler,passtrough,passthrough,SelectFpr,PolynomialFeatures,0.946236559139785,0.9832402234636871,0.9643835616438357,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.8659754224270353,0.7535248736366055,0.7964774951076321,0.9293817204301075,0.935,0.9291232876712329,0.935
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},RobustScaler,OverSampler,KMeans,passthrough,passthrough,0.9655172413793104,0.7821229050279329,0.8641975308641976,0.2909090909090909,0.7619047619047619,0.4210526315789473,0.6282131661442006,0.7720138334663473,0.6426250812215725,0.8946833855799373,0.78,0.8176673164392463,0.78
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,OverSampler,KMeans,passthrough,PolynomialFeatures,0.9466666666666667,0.7932960893854749,0.8632218844984803,0.26,0.6190476190476191,0.36619718309859156,0.6033333333333333,0.7061718542165469,0.6147095337985359,0.8745666666666666,0.775,0.811034290851492,0.775
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,OverSampler,KMeans,SelectKBest,passthrough,0.9428571428571428,0.7374301675977654,0.8275862068965516,0.21666666666666667,0.6190476190476191,0.32098765432098764,0.5797619047619047,0.6782388933226922,0.5742869306087697,0.8666071428571429,0.725,0.7743933588761174,0.725
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,OverSampler,KMeans,SelectKBest,PolynomialFeatures,0.9644970414201184,0.9106145251396648,0.9367816091954023,0.4838709677419355,0.7142857142857143,0.5769230769230769,0.7241840045810269,0.8124501197126895,0.7568523430592395,0.9140313036839092,0.89,0.898996463306808,0.89
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,OverSampler,KMeans,SelectFpr,passthrough,0.9640718562874252,0.8994413407821229,0.930635838150289,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.7093086554164398,0.8068635275339187,0.7430956968529223,0.9105715841045182,0.88,0.8912524084778419,0.88
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,OverSampler,KMeans,SelectFpr,PolynomialFeatures,0.9393939393939394,0.8659217877094972,0.9011627906976744,0.3142857142857143,0.5238095238095238,0.39285714285714285,0.6268398268398269,0.6948656557595105,0.6470099667774086,0.8737575757575757,0.83,0.8477906976744185,0.83
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,OverSampler,passthrough,passthrough,passthrough,0.9698795180722891,0.8994413407821229,0.9333333333333333,0.47058823529411764,0.7619047619047619,0.5818181818181817,0.7202338766832034,0.8306730513434424,0.7575757575757576,0.9174539333805811,0.885,0.8964242424242425,0.885
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,OverSampler,passthrough,passthrough,PolynomialFeatures,0.9329608938547486,0.9329608938547486,0.9329608938547486,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6807661612130885,0.6807661612130885,0.6807661612130885,0.88,0.88,0.88,0.88
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,OverSampler,passthrough,SelectKBest,passthrough,0.9700598802395209,0.9050279329608939,0.9364161849710984,0.48484848484848486,0.7619047619047619,0.5925925925925926,0.7274541825440028,0.8334663474328279,0.7645043887818455,0.9191126837234621,0.89,0.9003147077713552,0.89
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,OverSampler,passthrough,SelectKBest,PolynomialFeatures,0.9562841530054644,0.9776536312849162,0.9668508287292817,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.8604950176792028,0.7983506251662676,0.8255306775225356,0.9361684345869494,0.94,0.9371735969758652,0.94
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,OverSampler,passthrough,SelectFpr,passthrough,0.9602272727272727,0.9441340782122905,0.952112676056338,0.5833333333333334,0.6666666666666666,0.6222222222222222,0.771780303030303,0.8054003724394785,0.7871674491392802,0.9206534090909091,0.915,0.9174741784037558,0.915
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,OverSampler,passthrough,SelectFpr,PolynomialFeatures,0.9540229885057471,0.9273743016759777,0.9405099150141643,0.5,0.6190476190476191,0.5531914893617021,0.7270114942528736,0.7732109603617984,0.7468507021879331,0.9063505747126436,0.895,0.8998414803206558,0.895
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,UnderSampler,KMeans,passthrough,passthrough,0.993103448275862,0.8044692737430168,0.888888888888889,0.36363636363636365,0.9523809523809523,0.5263157894736843,0.6783699059561128,0.8784251130619846,0.7076023391812867,0.9270094043887147,0.82,0.8508187134502925,0.82
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},RobustScaler,UnderSampler,KMeans,passthrough,PolynomialFeatures,0.9466666666666667,0.7932960893854749,0.8632218844984803,0.26,0.6190476190476191,0.36619718309859156,0.6033333333333333,0.7061718542165469,0.6147095337985359,0.8745666666666666,0.775,0.811034290851492,0.775
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},RobustScaler,UnderSampler,KMeans,SelectKBest,passthrough,0.9699248120300752,0.7206703910614525,0.8269230769230769,0.2537313432835821,0.8095238095238095,0.38636363636363635,0.6118280776568287,0.765097100292631,0.6066433566433567,0.8947244978116935,0.73,0.7806643356643357,0.73
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,UnderSampler,KMeans,SelectKBest,PolynomialFeatures,0.9602649006622517,0.8100558659217877,0.8787878787878789,0.30612244897959184,0.7142857142857143,0.42857142857142855,0.6331936748209217,0.762170790103751,0.6536796536796537,0.8915799432355723,0.8,0.8315151515151515,0.8
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 7},RobustScaler,UnderSampler,KMeans,SelectFpr,passthrough,0.9861111111111112,0.7932960893854749,0.8792569659442725,0.3392857142857143,0.9047619047619048,0.49350649350649356,0.6626984126984128,0.8490289970736898,0.686381729725383,0.9181944444444444,0.805,0.8387531663383058,0.805
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},RobustScaler,UnderSampler,KMeans,SelectFpr,PolynomialFeatures,0.9573170731707317,0.8770949720670391,0.9154518950437317,0.3888888888888889,0.6666666666666666,0.49122807017543857,0.6731029810298103,0.7718808193668529,0.7033399826095852,0.8976321138211381,0.855,0.8709083934325609,0.855
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,UnderSampler,passthrough,passthrough,passthrough,0.9757575757575757,0.8994413407821229,0.936046511627907,0.4857142857142857,0.8095238095238095,0.6071428571428571,0.7307359307359307,0.8544825751529662,0.771594684385382,0.9243030303030302,0.89,0.9015116279069767,0.89
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},RobustScaler,UnderSampler,passthrough,passthrough,PolynomialFeatures,0.967741935483871,0.8379888268156425,0.8982035928143713,0.35555555555555557,0.7619047619047619,0.48484848484848486,0.6616487455197133,0.7999467943602021,0.6915260388314282,0.9034623655913978,0.83,0.8548013064779534,0.83
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,UnderSampler,passthrough,SelectKBest,passthrough,0.9934640522875817,0.8491620111731844,0.9156626506024096,0.425531914893617,0.9523809523809523,0.5882352941176471,0.7094979835905993,0.9007714817770683,0.7519489723600283,0.9338311778612155,0.86,0.8812827781715095,0.86
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,UnderSampler,passthrough,SelectKBest,PolynomialFeatures,0.9647887323943662,0.7653631284916201,0.853582554517134,0.27586206896551724,0.7619047619047619,0.40506329113924044,0.6203254006799417,0.763633945198191,0.6293229228281872,0.8924514327343371,0.765,0.8064880318624552,0.765
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 9},RobustScaler,UnderSampler,passthrough,SelectFpr,passthrough,0.9931972789115646,0.8156424581005587,0.8957055214723927,0.37735849056603776,0.9523809523809523,0.5405405405405405,0.6852778847388012,0.8840117052407555,0.7181230310064666,0.9285342061352843,0.83,0.8584131984745482,0.83
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 11},RobustScaler,UnderSampler,passthrough,SelectFpr,PolynomialFeatures,0.9815950920245399,0.8938547486033519,0.935672514619883,0.4864864864864865,0.8571428571428571,0.6206896551724138,0.7340407892555132,0.8754988028731046,0.7781810848961483,0.9296086884430443,0.89,0.9025993143778988,0.89
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,KMeans,passthrough,passthrough,0.9312169312169312,0.9832402234636871,0.9565217391304348,0.7272727272727273,0.38095238095238093,0.5,0.8292448292448292,0.682096302208034,0.7282608695652174,0.9098027898027898,0.92,0.9085869565217393,0.92
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,KMeans,passthrough,PolynomialFeatures,0.9179487179487179,1.0,0.9572192513368984,1.0,0.23809523809523808,0.3846153846153846,0.9589743589743589,0.6190476190476191,0.6709173179761415,0.9265641025641025,0.92,0.8970958453311394,0.92
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,passtrough,KMeans,SelectKBest,passthrough,0.9214659685863874,0.9832402234636871,0.9513513513513513,0.6666666666666666,0.2857142857142857,0.4,0.794066317626527,0.6344772545889864,0.6756756756756757,0.8947120418848168,0.91,0.8934594594594594,0.91
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 5},RobustScaler,passtrough,KMeans,SelectKBest,PolynomialFeatures,0.93717277486911,1.0,0.9675675675675676,1.0,0.42857142857142855,0.6,0.968586387434555,0.7142857142857143,0.7837837837837838,0.9437696335078535,0.94,0.928972972972973,0.94
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,KMeans,SelectFpr,passthrough,0.9263157894736842,0.9832402234636871,0.9539295392953928,0.7,0.3333333333333333,0.45161290322580644,0.8131578947368421,0.6582867783985102,0.7027712212605997,0.9025526315789473,0.915,0.9011862925080862,0.915
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,KMeans,SelectFpr,PolynomialFeatures,0.9175257731958762,0.994413407821229,0.9544235924932976,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.8754295532646048,0.6162543229582336,0.662396981431834,0.9086855670103092,0.915,0.8930980041703901,0.915
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,passthrough,passthrough,0.9206349206349206,0.9720670391061452,0.9456521739130433,0.5454545454545454,0.2857142857142857,0.37499999999999994,0.7330447330447329,0.6288906624102155,0.6603260869565216,0.8812409812409812,0.9,0.8857336956521737,0.9
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,passthrough,PolynomialFeatures,0.9162303664921466,0.9776536312849162,0.9459459459459459,0.5555555555555556,0.23809523809523808,0.33333333333333326,0.7358929610238512,0.6078744346900772,0.6396396396396395,0.8783595113438045,0.9,0.8816216216216216,0.9
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,SelectKBest,passthrough,0.93048128342246,0.9720670391061452,0.9508196721311476,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7729329494035377,0.6765097100292631,0.7107039537126326,0.8973961332784863,0.91,0.9003953712632594,0.91
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,SelectKBest,PolynomialFeatures,0.9470899470899471,1.0,0.9728260869565218,1.0,0.5238095238095238,0.6875000000000001,0.9735449735449735,0.7619047619047619,0.830163043478261,0.9526455026455026,0.95,0.942866847826087,0.95
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,SelectFpr,passthrough,0.9351351351351351,0.9664804469273743,0.9505494505494506,0.6,0.42857142857142855,0.5,0.7675675675675675,0.6975259377494014,0.7252747252747254,0.8999459459459459,0.91,0.9032417582417582,0.91
KNeighborsClassifier,"{'n_neighbors': [3, 5, 7, 9, 11]}",{'n_neighbors': 3},RobustScaler,passtrough,passthrough,SelectFpr,PolynomialFeatures,0.9408602150537635,0.9776536312849162,0.9589041095890412,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.827572964669739,0.7269220537376961,0.7651663405088063,0.9170698924731184,0.925,0.9182191780821918,0.925
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 100, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,passthrough,passthrough,0.9530201342281879,0.7932960893854749,0.8658536585365854,0.27450980392156865,0.6666666666666666,0.38888888888888895,0.6137649690748783,0.7299813780260708,0.6273712737127372,0.8817765495459929,0.78,0.8157723577235773,0.78
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 0.1, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,passthrough,PolynomialFeatures,0.9545454545454546,0.8212290502793296,0.8828828828828829,0.30434782608695654,0.6666666666666666,0.41791044776119407,0.6294466403162056,0.7439478584729982,0.6503966653220384,0.8862747035573123,0.805,0.8340607771951055,0.805
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 1, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,SelectKBest,passthrough,0.9808917197452229,0.8603351955307262,0.9166666666666666,0.4186046511627907,0.8571428571428571,0.5625000000000001,0.6997481854540069,0.8587390263367917,0.7395833333333334,0.9218515775440674,0.86,0.8794791666666666,0.86
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 1, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,SelectKBest,PolynomialFeatures,0.9675324675324676,0.8324022346368715,0.8948948948948949,0.34782608695652173,0.7619047619047619,0.4776119402985074,0.6576792772444946,0.7971534982708166,0.6862534175967012,0.9024632975719933,0.825,0.8510801846622743,0.825
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 1, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,SelectFpr,passthrough,0.9874213836477987,0.8770949720670391,0.9289940828402367,0.4634146341463415,0.9047619047619048,0.6129032258064516,0.7254180088970701,0.890928438414472,0.7709486543233441,0.9324006749501457,0.88,0.8958045428516893,0.88
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 100, 'max_iter': 1000}",StandardScaler,OverSampler,KMeans,SelectFpr,PolynomialFeatures,0.9808917197452229,0.8603351955307262,0.9166666666666666,0.4186046511627907,0.8571428571428571,0.5625000000000001,0.6997481854540069,0.8587390263367917,0.7395833333333334,0.9218515775440674,0.86,0.8794791666666666,0.86
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 0.1, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,passthrough,passthrough,0.9875,0.88268156424581,0.9321533923303834,0.475,0.9047619047619048,0.6229508196721311,0.73125,0.8937217345038574,0.7775521060012572,0.9336875,0.885,0.8996871222012669,0.885
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 0.1, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,passthrough,PolynomialFeatures,0.9761904761904762,0.9162011173184358,0.9452449567723343,0.53125,0.8095238095238095,0.6415094339622642,0.7537202380952381,0.8628624634211226,0.7933771953672992,0.9294717261904762,0.905,0.913352726877277,0.905
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 0.1, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,SelectKBest,passthrough,0.9813664596273292,0.88268156424581,0.9294117647058824,0.46153846153846156,0.8571428571428571,0.6,0.7214524605828954,0.8699122106943336,0.7647058823529411,0.926784519827998,0.88,0.8948235294117647,0.88
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 1, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,SelectKBest,PolynomialFeatures,0.9683544303797469,0.8547486033519553,0.9080118694362018,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.6746534056660639,0.8083266826283586,0.7079741886863549,0.9066772151898735,0.845,0.866003956478734,0.845
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 10, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,SelectFpr,passthrough,0.9811320754716981,0.8715083798882681,0.923076923076923,0.43902439024390244,0.8571428571428571,0.5806451612903225,0.7100782328578003,0.8643256185155626,0.7518610421836227,0.9242107685227796,0.87,0.88712158808933,0.87
LogisticRegression,"{'C': [0.1, 1, 10, 100], 'max_iter': [1000]}","{'C': 0.1, 'max_iter': 1000}",StandardScaler,OverSampler,passthrough,SelectFpr,PolynomialFeatures,0.9874213836477987,0.8770949720670391,0.9289940828402367,0.4634146341463415,0.9047619047619048,0.6129032258064516,0.7254180088970701,0.890928438414472,0.7709486543233441,0.9324006749501457,0.88,0.8958045428516893,0.88
